(scratchpad)
Let me analyze the input content carefully. This is a CGT Daily News briefing from April 16, 2026, covering 9 stories related to cell and gene therapy. Let me plan the conversation:
Key stories to cover:
1. In vivo CAR-T race for autoimmune disease - two RNA startups entering clinic
2. FDA plausible mechanism framework - not exclusive to bespoke gene therapies
3. Replimune's second CRL and company decline
4. Revolution Medicines $1.5B stock offering wave
5. Parker Institute doubling down on cancer vaccines
6. Obsidian Therapeutics going public via reverse merger with Galera
7. Astellas closing Seattle stem cell site
8. FDA searching for new biologics and vaccines leader
9. Layoff tracker - Astellas and Replimune
I'll create an engaging, fast-paced conversation between Person1 (Host) and Person2 (Expert Analyst) covering all these stories with enthusiasm, appropriate TTS markup, natural language, filler words, emotional context, and good flow.
Let me structure the conversation:
- Opening greeting
- Story 1: In vivo CAR-T autoimmune race
- Story 2: FDA plausible mechanism framework
- Story 3: Replimune CRL and decline
- Story 4: Revolution Medicines stock offerings
- Story 5: Parker Institute cancer vaccines
- Story 6: Obsidian/Galera reverse merger
- Story 7: Astellas Seattle closure
- Story 8: FDA CBER leadership search
- Story 9: Layoff tracker summary
- Closing
I'll make sure each speaker turn is short, natural, overlapping feel, with TTS markup for prosody, pitch, rate, volume variations. I'll include filler words, verbal feedback, at least one respectful challenge/critique.
<Person1> "Welcome to CGT News Podcast — Your daily dose of cell and gene therapy news. We have got a packed show today, April 16th, 2026, and honestly... there is a lot happening across the field right now."
</Person1><Person2> "There really is! I mean, from in vivo CAR-T therapies entering the clinic, to FDA policy shifts, to some pretty significant layoffs — it is one of those days where you just have to buckle up."
</Person2><Person1> "Exactly! So, let's just — let's jump right in. Because we have nine stories to get through today and every single one of them matters. Let's start with the big one — the in vivo CAR-T race for autoimmune disease."
</Person1><Person2> "Oh, yes. This one is, uh, genuinely exciting. So, two RNA-based startups have now entered the clinic with in vivo CAR-T therapies specifically targeting autoimmune disease. And one of them — China-based Immorna — has already treated a systemic sclerosis patient."
</Person2><Person1> "Systemic sclerosis. That is a serious condition. And, you know, for listeners who may not be as familiar — this is not your traditional CAR-T approach, right?"
</Person1><Person2> "Right, right. Traditional CAR-T requires extracting a patient's T cells, engineering them in a lab, and then infusing them back. It's complex, it's expensive, it's time-consuming. In vivo CAR-T — completely different game. You're delivering the genetic instructions directly into the body to reprogram cells inside the patient."
</Person2><Person1> "Which is, uh, I mean — that is a fundamental shift in how we think about cell therapy manufacturing."
</Person1><Person2> "Absolutely. And the fact that RNA-based startups are driving this is significant. RNA delivery has come a long way — we saw that with mRNA vaccines — and now companies are leveraging that same kind of platform to engineer immune cells in real time, inside the body."
</Person2><Person1> "So what does this mean for the autoimmune space specifically? Because we've been seeing a lot of momentum there with ex vivo CAR-T already."
